customer_id,signup_date,acquisition_channel,signup_discount,plan_type,meals_per_week,servings,weekly_price,weeks_active,weeks_skipped,skip_rate,times_paused,support_contacts,delivery_issues,app_sessions_last_30_days,avg_recipe_rating,avg_recipe_difficulty_rating,nps_score,churned,weeks_to_churn
HF-00001,2022-04-13,tv_ad,50_percent,Pescatarian,2,2,18.39,85,17,0.19,0,0,1,14,4.9,1.7,72,0,
HF-00002,2023-03-12,paid_social,50_percent,Classic,3,2,30.71,42,5,0.11,2,2,0,7,3.9,2.9,-36,0,
HF-00003,2024-05-10,organic,30_percent,Classic,4,4,82.54,86,0,0.0,0,1,0,17,4.3,3.0,99,0,
HF-00004,2022-09-28,paid_social,free_first_box,Classic,4,2,38.01,31,12,0.39,1,3,1,5,4.4,3.3,46,1,31
HF-00005,2022-04-17,paid_social,50_percent,Pescatarian,4,4,80.74,35,8,0.23,1,1,2,0,5.0,2.2,63,0,
HF-00006,2022-03-13,organic,50_percent,Veggie,2,4,38.26,50,5,0.11,2,1,1,14,5.0,2.0,100,1,45
HF-00007,2023-12-02,influencer,none,Veggie,5,2,51.94,95,7,0.08,0,0,0,15,4.5,3.4,92,0,
HF-00008,2022-01-21,tv_ad,50_percent,Classic,3,4,61.9,48,9,0.2,0,1,2,13,4.2,3.1,46,0,
HF-00009,2023-09-07,referral,free_first_box,Classic,5,4,99.09,58,5,0.08,1,1,0,19,5.0,2.1,100,0,
HF-00010,2022-05-02,paid_social,50_percent,Classic,2,2,24.38,53,7,0.14,1,1,2,9,4.3,3.0,9,0,
HF-00011,2023-04-12,organic,free_first_box,Family,3,4,62.09,49,1,0.02,0,1,1,10,5.0,3.4,71,0,
HF-00012,2022-08-03,paid_social,50_percent,Pescatarian,3,2,31.35,53,7,0.13,0,2,1,10,4.5,2.7,-7,1,50
HF-00013,2022-11-27,referral,none,Classic,3,2,31.24,85,0,0.0,0,0,0,23,4.4,2.0,88,0,
HF-00014,2023-04-04,paid_social,none,Veggie,4,2,41.89,75,0,0.0,1,0,1,19,5.0,2.6,90,0,
HF-00015,2022-03-29,organic,30_percent,Classic,4,4,77.85,73,27,0.36,0,3,0,17,5.0,1.7,100,0,
HF-00016,2023-01-08,paid_social,50_percent,Classic,5,2,50.29,34,6,0.17,1,2,0,12,4.9,2.7,33,0,
